UMPD Case Number,Date Occurred,Report Date,Crime Type,Disposition,LOCATION
2016-00029667,2016-05-19 21:45:00,2016-05-19 22:14:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2016-00029704,2016-05-19 23:33:00,2016-05-19 23:33:00,Recovered Stolen Motor Vehicle,Juvenile Arrest,North Gate at 4306  Campus  Dr
2016-00029705,2016-05-20 00:12:00,2016-05-20 00:23:00,Accident - Departmental,CBE,Campus  Dr
2016-00029722,2016-05-20 02:36:00,2016-05-20 02:36:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00029962,2016-05-20 23:58:00,2016-05-20 23:58:00,Traffic Arrest,Arrest,9000 block of  Baltimore  Ave
2016-00029974,2016-05-21 01:08:00,2016-05-21 01:08:00,Accident - Departmental,CBE,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
2016-00029981,2016-05-21 01:46:00,2016-05-21 01:46:00,Noise Complaint,Arrest,University Courtyard #5 at 8500  Boteler  Ln
2016-00029982,2016-05-21 02:27:00,2016-05-21 02:27:00,Emergency Petition,CBE,8200 block of  Boteler  La
2016-00030126,2016-05-21 22:31:00,2016-05-21 22:31:00,CDS Violation,Arrest,5000 block of  Greenbelt  Rd
2016-00030129,2016-05-21 22:47:00,2016-05-21 22:47:00,Juvenile Offense,Juvenile Arrest,Denton Hall at 3854  Stadium  Dr
2016-00030152,2016-05-22 01:43:00,2016-05-22 01:43:00,CDS Violation,Arrest,Baltimore  Ave
2016-00030158,2016-05-22 02:46:00,2016-05-22 02:46:00,Assault,Arrest,University Courtyard #4 at 8400  Boteler  Ln
2016-00030164,2016-05-22 05:46:00,2016-05-22 05:46:00,DWI/DUI,Arrest,"Church of Jesus Christ of Latter-day Saints, Latter Day Saints, LDS Church at 7601  Mowatt  Ln"
2016-00030368,2016-05-23 08:00:00,2016-05-23 08:04:00,Injured/Sick Person,CBE,
2016-00030446,2016-05-23 07:30:00,2016-05-23 13:14:00,Theft from Auto,Suspended,Lot P1
2016-00030457,2016-05-23 14:23:00,2016-05-23 14:23:00,Warrant/Summons Service,Arrest,North Gate at 4306  Campus  Dr
2016-00030563,2016-05-23 07:20:00,2016-05-24 07:08:00,Dept Property Damage/Loss,CBE,Lot F
2016-00030571,2016-05-24 08:53:00,2016-05-24 08:53:00,CDS Violation,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2016-00030636,2016-05-24 14:25:00,2016-05-24 14:53:00,Vandalism,Suspended,"Commons 6, SCC 6, South Campus Commons 6 at 6901  Preinkert  Dr"
2016-00030680,2016-05-24 19:19:00,2016-05-24 19:19:00,Suspicious Person/Auto,CBE,Rhode Island  Ave
2016-00030720,2016-05-24 18:38:00,2016-05-24 23:54:00,Burglary,Arrest,8200 block of  Boteler  Ln
2016-00030774,2016-05-25 11:31:00,2016-05-25 11:31:00,Injured/Sick Person,CBE,"Computer Science Instructional Center, CSIC at 8169  Paint Branch  Dr"
2016-00030777,2016-05-25 11:00:00,2016-05-25 11:30:00,Accident,CBE,
2016-00030783,2016-05-25 12:10:00,2016-05-25 13:21:00,Theft,Arrest,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2016-00030861,2016-05-25 20:41:00,2016-05-25 20:41:00,CDS Violation,Arrest,Baltimore  Ave
2016-00030870,2016-05-25 20:41:00,2016-05-25 22:24:00,CDS Violation,Arrest,Baltimore  Ave
2016-00030886,2016-05-25 23:02:00,2016-05-25 23:02:00,Traffic Arrest,Arrest,Baltimore  Ave
2016-00030938,2016-05-25 17:00:00,2016-05-26 10:13:00,Theft,Suspended,"Commons 7, SCC 7, South Campus Commons 7 at 6801  Preinkert  Dr"
2016-00031006,2016-05-26 19:00:00,2016-05-26 19:29:00,Recovered Stolen Property,Suspended,Denton Hall at 3854  Stadium  Dr
2016-00031128,2016-05-27 01:36:00,2016-05-27 01:36:00,DWI/DUI,Arrest,Landmark s at 4500  College  Ave
2016-00031136,2016-05-27 01:59:00,2016-05-27 01:59:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00031184,2016-05-26 13:00:00,2016-05-27 07:59:00,Theft,Arrest,Denton Hall at 3854  Stadium  Dr
2016-00031209,2016-05-27 09:17:00,2016-05-27 09:17:00,Injured/Sick Person,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2016-00031298,2016-05-22 10:00:00,2016-05-27 19:25:00,Dept Property Damage/Loss,CBE,490 block of  At Rt 50
2016-00031312,2016-05-27 20:30:00,2016-05-27 20:35:00,Suspicious Activity,CBE,Union  Ln
2016-00031341,2016-05-27 22:07:00,2016-05-27 22:07:00,CDS Violation,CBE,6800 block of  Preinkert  Dr
2016-00031476,2016-05-28 08:59:00,2016-05-28 08:59:00,Recovered Stolen Property,Active/Pending,"Drazek Circle, UMUC at 346  Ehrensberger  Dr"
2016-00031547,2016-05-28 17:03:00,2016-05-28 17:03:00,Emergency Petition,CBE,51st  Ave
2016-00031568,2016-05-28 16:45:00,2016-05-28 22:01:00,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00031727,2016-05-29 13:46:00,2016-05-29 13:46:00,Other Incident,CBE,Alpha Phi Sorority at 7402  Princeton  Ave
2016-00031989,2016-05-30 20:32:00,2016-05-30 20:32:00,CDS Violation,Arrest,Baltimore  Ave
2016-00032006,2016-05-28 21:00:00,2016-05-30 22:45:00,Vandalism,Active/Pending,Lot 9b
2016-00032124,2016-05-27 13:00:00,2016-05-31 15:57:00,Burglary,Suspended,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00032129,2016-05-31 16:20:00,2016-05-31 16:49:00,Found/Recovered Property,CBE,190 block of  Paint Branch  Pkwy
2016-00032250,2016-06-01 00:31:00,2016-06-01 00:31:00,CDS Violation,CBE,Easton Hall at 3917  Denton Service  Ln
2016-00032355,2016-06-01 12:59:00,2016-06-01 12:59:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2016-00032357,2016-06-01 14:12:00,2016-06-01 14:12:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2016-00032358,2016-06-01 14:34:00,2016-06-01 14:34:00,Injured/Sick Person,CBE,Lot 9b
2016-00032360,2016-06-01 14:45:00,2016-06-01 14:45:00,CDS Violation,Arrest,North Gate at 4306  Campus  Dr
2016-00032418,2016-06-01 20:30:00,2016-06-01 20:30:00,Traffic Arrest,Arrest,Applebees Restaraunt at 7242  Baltimore  Ave
2016-00032438,2016-06-01 23:04:00,2016-06-01 23:04:00,Traffic Arrest,Arrest,Paint Branch  Pky
2016-00032505,2016-06-01 17:00:00,2016-06-02 10:16:00,Vandalism,Suspended,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2016-00032517,2016-06-02 11:40:00,2016-06-02 11:44:00,Theft,Unfounded,"Chemistry, Chemistry Building at 8051  Regents  Dr"
2016-00032528,2016-06-02 13:15:00,2016-06-02 13:15:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2016-00032538,2016-06-02 16:56:00,2016-06-02 16:57:00,Found/Recovered Property,CBE,"Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999  Regents  Dr"
2016-00032540,2016-06-02 17:37:00,2016-06-02 17:37:00,Warrant/Summons Service,Arrest,North Gate at 4306  Campus  Dr
2016-00032565,2016-06-02 19:12:00,2016-06-02 19:12:00,Accident - Departmental,CBE,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2016-00032583,2016-05-31 21:30:00,2016-06-02 20:40:00,Theft,Active/Pending,263 at 4307  Rowalt  Dr
2016-00032692,2016-06-03 04:00:00,2016-06-03 04:04:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00032750,2016-03-08 00:00:00,2016-06-03 13:25:00,Theft,Suspended,Martin Hall at 4298  Campus  Dr
2016-00032794,2016-06-03 18:59:00,2016-06-03 18:59:00,Warrant/Summons Service,Arrest,Archives at 8601  Adelphi  Rd
2016-00032918,2016-06-03 22:49:00,2016-06-04 02:19:00,Rape,Arrest,8600 block of  Boteler  Ln
2016-00032919,2016-06-04 03:31:00,2016-06-04 03:31:00,Assist Other Agency (Title IX Related),CBE,"Looney's Pub, The Varsity at 8150  Baltimore  Ave"
2016-00032960,2016-06-04 11:05:00,2016-06-04 12:44:00,Assist Other Agency,CBE,Baltimore  Ave
2016-00033083,2016-06-05 01:47:00,2016-06-05 01:47:00,Assist Other Agency,CBE,8100 block of  Baltimore  Ave
2016-00033086,2016-06-05 01:59:00,2016-06-05 01:59:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00033173,2016-06-05 16:05:00,2016-06-05 16:05:00,DWI/DUI,Arrest,Town Hall Liquors at 8135  Baltimore  Ave
2016-00033311,2016-06-06 09:11:00,2016-06-06 09:11:00,Other Incident,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
2016-00033326,2016-06-06 12:14:00,2016-06-06 12:14:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
2016-00033346,2016-05-25 20:00:00,2016-06-06 14:21:00,Theft,Suspended,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2016-00033347,2016-06-06 10:00:00,2016-06-06 14:52:00,Theft,Suspended,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2016-00033366,2016-06-06 12:45:00,2016-06-06 19:35:00,Theft,Suspended,Service Building at 7757  Baltimore  Ave
2016-00033506,2016-06-07 09:18:00,2016-06-07 09:18:00,Alarm,CBE,Chemical & Nuclear Engineering at 4418  Stadium  Dr
2016-00033509,2016-05-27 22:00:00,2016-06-07 09:48:00,Dept Property Damage/Loss,CBE,Service Building at 7757  Baltimore  Ave
2016-00033518,2016-06-07 12:32:00,2016-06-07 12:32:00,Emergency Petition,CBE,Mckeldin Library at 7649  Library  Ln
2016-00033565,2016-06-07 18:35:00,2016-06-07 19:00:00,Assault,Arrest,Calvert  Rd
2016-00033597,2016-06-07 22:28:00,2016-06-07 22:28:00,CDS Violation,Arrest,University  Blvd
2016-00033686,2016-06-08 08:50:00,2016-06-08 08:57:00,Injured/Sick Person,CBE,South Campus Dining Hall at 7093  Preinkert  Dr
2016-00033709,2016-06-07 14:30:00,2016-06-08 11:19:00,Theft,Active/Pending,Mckeldin Library at 7649  Library  Ln
2016-00033725,2016-06-08 13:50:00,2016-06-08 13:53:00,Accident,CBE,Jull Hall at 4196  Stadium  Dr
2016-00033740,2016-06-08 13:30:00,2016-06-08 16:07:00,Theft,Active/Pending,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2016-00033954,2016-06-08 17:00:00,2016-06-09 14:29:00,Vandalism,Active/Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00033956,2016-06-09 14:57:00,2016-06-09 14:57:00,Injured/Sick Person,CBE,Benjamin Building at 3942  Campus  Dr
2016-00034012,2016-06-09 20:20:00,2016-06-09 20:37:00,Assault,Suspended,Engineering Fields
2016-00034052,2016-06-09 23:17:00,2016-06-09 23:17:00,Accident - Departmental,CBE,Baltimore  Ave
2016-00034087,2016-06-10 00:45:00,2016-06-10 00:45:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00034187,2016-06-10 08:07:00,2016-06-10 08:07:00,Injured/Sick Person,CBE,Animal Science Building at 8127  Regents  Dr
2016-00034197,2016-06-10 09:16:00,2016-06-10 09:16:00,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
2016-00034207,2016-06-10 10:16:00,2016-06-10 10:16:00,Other Incident,CBE,7500 block of  Baltimore  Ave
2016-00034235,2016-06-07 12:00:00,2016-06-10 13:42:00,Theft,Active/Pending,"H.J. Patterson Hall, HJ Patterson Hall at 4065  Campus  Dr"
2016-00034321,2016-06-10 20:52:00,2016-06-10 20:52:00,Traffic Offense,CBE,Adelphi  Rd
2016-00034347,2016-06-10 22:35:00,2016-06-10 23:35:00,Accident,Summons Issued,3700 block of  Campus  Dr
2016-00034356,2016-06-11 00:28:00,2016-06-11 00:28:00,DWI/DUI,Arrest,Berwyn House  Rd
2016-00034443,2016-06-11 10:57:00,2016-06-11 10:57:00,Injured/Sick Person,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00034484,2016-06-11 17:43:00,2016-06-11 17:43:00,Hazardous Condition,CBE,Golf Course Club House at 3800  Golf Course  Rd
2016-00034508,2016-06-11 21:13:00,2016-06-11 21:13:00,Domestic,Active/Pending,3400 block of  Tulane  Dr
2016-00034512,2016-06-11 22:41:00,2016-06-11 22:41:00,Warrant/Summons Service,Arrest,Lakeland  Rd
2016-00034548,2016-06-12 02:28:00,2016-06-12 02:28:00,DWI/DUI,Arrest,
2016-00034553,2016-06-12 03:52:00,2016-06-12 03:52:00,Burglary,Arrest,Van Munching Hall at 7699  Mowatt  Ln
2016-00034569,2016-06-12 08:19:00,2016-06-12 08:19:00,Recovered Stolen Property,CBE,Chesapeake Building at 4300  Terrapin  Trl
2016-00034628,2016-06-12 14:19:00,2016-06-12 14:19:00,Alarm,CBE,Chemical & Nuclear Engineering at 4418  Stadium  Dr
2016-00034635,2016-06-12 15:12:00,2016-06-12 15:12:00,Trespassing,Arrest,Lot 1b
2016-00034787,2016-06-13 00:43:00,2016-06-13 00:43:00,Warrant/Summons Service,Arrest,Baltimore  Ave
2016-00034834,2016-06-13 07:40:00,2016-06-13 08:39:00,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00034860,2016-06-13 11:40:00,2016-06-13 11:40:00,Injured/Sick Person,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2016-00034864,2016-06-13 10:37:00,2016-06-13 11:58:00,Other Incident,Suspended,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00034937,2016-06-09 00:00:00,2016-06-13 16:47:00,Fraud,Active/Pending,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
2016-00035097,2016-06-14 02:00:00,2016-06-14 02:00:00,Trespassing,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
2016-00035143,2016-06-11 21:00:00,2016-06-14 10:26:00,Theft,Unfounded,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
2016-00035388,2015-09-01 12:00:00,2016-06-15 10:38:00,Other Incident,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00035397,2016-06-15 08:00:00,2016-06-15 11:59:00,Theft,Arrest,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
2016-00035401,2016-06-09 13:00:00,2016-06-15 13:21:00,Theft,Arrest,74  Campus  Dr
2016-00035487,2016-06-15 21:52:00,2016-06-15 21:52:00,CDS Violation,CBE,8000 block of  Boteler  Ln
2016-00035561,2016-06-16 01:25:00,2016-06-16 01:25:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00035617,2016-06-16 07:40:00,2016-06-16 08:08:00,Suspicious Activity,CBE,"Lee Building, South Administration at 7809  Regents  Dr"
2016-00035626,2016-06-03 17:00:00,2016-06-16 11:05:00,Lost Property,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00035642,2016-06-09 17:01:00,2016-06-16 16:59:00,Assist Other Agency,CBE,"Lee Building, South Administration at 7809  Regents  Dr"
2016-00035716,2016-06-16 23:17:00,2016-06-16 23:17:00,CDS Violation,Arrest,Guilford  Rd
2016-00035780,2016-06-17 03:25:00,2016-06-17 03:25:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00035811,2016-06-17 08:47:00,2016-06-17 08:47:00,Suspicious Person/Auto,CBE,Sample Preparation Building at 8145  Greenmead  Dr
2016-00035839,2016-06-17 15:35:00,2016-06-17 15:50:00,Theft,Arrest,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2016-00036046,2016-06-18 01:25:00,2016-06-18 01:25:00,Warrant/Summons Service,Arrest,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00036067,2016-06-18 03:49:00,2016-06-18 03:59:00,Assist Other Agency,CBE,"College Park Metro, Metro at 4600  River  Rd"
2016-00036104,2016-06-18 00:00:00,2016-06-18 09:52:00,Vandalism,Active/Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2016-00036139,2016-06-18 14:08:00,2016-06-18 14:08:00,Injured/Sick Person,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
2016-00036213,2016-06-18 21:41:00,2016-06-18 21:41:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00036254,2016-06-18 18:00:00,2016-06-19 00:03:00,Theft,Suspended,Bioscience Research Building at 4066  Campus  Dr
2016-00036266,2016-06-19 00:26:00,2016-06-19 00:26:00,CDS Violation,CBE,"City Hall, CP Municipal Bldg at 4500  Knox  Rd"
2016-00036393,2016-06-19 12:56:00,2016-06-19 12:56:00,Trespassing,Arrest,University Courtyard #2 at 8200  Boteler  Ln
2016-00036542,2016-06-20 02:04:00,2016-06-20 02:04:00,Injured/Sick Person,CBE,Knox  Rd
2016-00036637,2016-06-10 17:00:00,2016-06-20 11:06:00,Burglary,Suspended,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00036675,2016-06-12 19:00:00,2016-06-20 16:25:00,Theft,Suspended,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
2016-00036859,2016-06-14 15:00:00,2016-06-21 10:45:00,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00036867,2016-06-21 14:03:00,2016-06-21 14:03:00,CDS Violation,Arrest,University Courtyard #6 at 8600  Boteler  Ln
2016-00036977,2016-06-21 12:10:00,2016-06-22 00:01:00,Theft,Suspended,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00037025,2016-06-22 09:03:00,2016-06-22 09:03:00,Injured/Sick Person,CBE,Starbucks at 7338  Baltimore  Ave
2016-00037054,2016-01-25 14:27:00,2016-06-22 12:47:00,Title IX Incident Non Criminal,Suspended,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2016-00037056,2016-06-20 08:00:00,2016-06-22 14:29:00,Lost Property,Unfounded,"J.M. Patterson Building, JM Patterson Building at 4356  Stadium  Dr"
2016-00037083,2016-06-22 17:30:00,2016-06-22 17:30:00,Trespassing,Arrest,Denton Area Dining Hall at 3951  Denton Service  Ln
2016-00037087,2016-06-18 14:00:00,2016-06-22 19:11:00,Theft,Suspended,280 at 4326  Rowalt  Dr
2016-00037097,2016-06-22 20:15:00,2016-06-22 20:15:00,Alarm,CBE,Martin Hall at 4298  Campus  Dr
2016-00037178,2016-06-23 01:23:00,2016-06-23 01:23:00,Suspicious Activity,Arrest,7400 block of  Columbia  Ave
2016-00037179,2016-06-23 01:46:00,2016-06-23 01:46:00,Injured/Sick Person,CBE,Baltimore  Ave
2016-00037220,2016-06-23 10:00:00,2016-06-23 10:20:00,Suspicious Person/Auto,CBE,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
2016-00037241,2016-06-09 19:00:00,2016-06-23 14:28:00,Theft,Arrest,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
2016-00037354,2016-06-24 01:08:00,2016-06-24 01:08:00,Trespassing,Arrest,Lot 3
2016-00037379,2016-06-24 03:26:00,2016-06-24 03:26:00,DWI/DUI,Arrest,McDonald's at 8301  Baltimore  Ave
2016-00037381,2016-06-24 05:14:00,2016-06-24 05:38:00,Warrant/Summons Service,Arrest,"Satellite Central Utilities Building 4, SCUB 4 at 4455  Stadium  Dr"
2016-00037403,2016-06-24 08:45:00,2016-06-24 08:46:00,Assist Other Agency (Title IX Related),CBE,3700 block of  Campus  Dr
2016-00037560,2016-06-24 23:13:00,2016-06-24 23:13:00,CDS Violation,Arrest,Adelphi  Rd
2016-00037602,2016-06-24 15:00:00,2016-06-25 02:38:00,Assist Other Agency,CBE,4800 block of  Norwich  Rd
2016-00037718,2016-06-25 08:30:00,2016-06-25 16:47:00,Theft from Auto,Suspended,Golf Course Club House at 3800  Golf Course  Rd
2016-00037815,2016-06-25 23:40:00,2016-06-25 23:40:00,Traffic Arrest,Arrest,Curry  Dr
2016-00037845,2016-06-26 00:00:00,2016-06-26 01:20:00,Theft,Suspended,Riggs Alumni Center at 7801  Alumni  Dr
2016-00037880,2016-06-26 05:41:00,2016-06-26 05:41:00,Warrant/Summons Service,Arrest,Paint Branch  Pky
2016-00037937,2016-06-26 15:58:00,2016-06-26 15:58:00,Recovered Stolen Property,CBE,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
2016-00038073,2016-06-27 00:31:00,2016-06-27 00:31:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00038368,2016-06-28 02:49:00,2016-06-28 02:49:00,DWI/DUI,Arrest,"Dairy, Turner Hall, Visitor Center at 7736  Baltimore  Ave"
2016-00038421,2016-06-28 15:25:00,2016-06-28 15:25:00,Injured/Sick Person,CBE,"Commons 7, SCC 7, South Campus Commons 7 at 6801  Preinkert  Dr"
2016-00038432,2016-06-28 15:43:00,2016-06-28 15:43:00,Suspicious Person/Auto,Arrest,Baltimore  Ave
2016-00038462,2016-06-28 16:55:00,2016-06-28 18:39:00,Theft,Arrest,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2016-00038533,2016-06-29 00:42:00,2016-06-29 00:42:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00038690,2016-06-29 22:20:00,2016-06-29 22:20:00,Suspicious Activity,Juvenile Arrest,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
2016-00038718,2016-06-30 00:49:00,2016-06-30 00:49:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00038721,2016-06-30 00:49:00,2016-06-30 01:09:00,Accident - Departmental,CBE,Baltimore  Ave
2016-00038854,2016-06-30 22:16:00,2016-06-30 22:16:00,Emergency Petition,CBE,"Capital One Field at Byrd Stadium, Maryland Stadium"
2016-00038910,2016-07-01 01:48:00,2016-07-01 01:48:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00039027,2016-07-01 21:01:00,2016-07-01 21:01:00,Trespassing,CBE,Marie Mount Hall at 7814  Regents  Dr
2016-00039106,2016-07-02 01:15:00,2016-07-02 04:42:00,Lost Property,CBE,Landmark s at 4500  College  Ave
2016-00039238,2016-07-02 20:40:00,2016-07-02 20:49:00,Assist Other Agency,CBE,Town Hall Liquors at 8135  Baltimore  Ave
2016-00039249,2016-07-01 22:00:00,2016-07-02 22:23:00,Other Incident,CBE,7700 block of  Adelphi  Rd
2016-00039255,2016-07-02 22:48:00,2016-07-02 22:48:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00039262,2016-07-01 23:51:00,2016-07-02 23:33:00,Injured Officer,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2016-00039278,2016-07-03 01:00:00,2016-07-03 01:05:00,Injured/Sick Person,CBE,7300 block of  Rhode Island  Ave
2016-00039330,2016-07-03 06:00:00,2016-07-03 08:27:00,Dept Property Damage/Loss,CBE,4000 block of  14st Nw
2016-00039431,2016-06-29 12:00:00,2016-07-03 19:59:00,Theft,Suspended,"Commons 5, SCC 5, South Campus Commons 5 at 6903  Preinkert  Dr"
2016-00039503,2016-07-04 04:56:00,2016-07-04 04:56:00,Suspicious Activity,Arrest,College  Ave
2016-00039512,2016-07-04 07:42:00,2016-07-04 07:42:00,Warrant/Summons Service,Arrest,"Drazek Circle, UMUC at 346  Ehrensberger  Dr"
2016-00039559,2016-07-04 13:42:00,2016-07-04 13:42:00,CDS Violation,Arrest,Baltimore  Ave
2016-00039716,2016-07-05 01:17:00,2016-07-05 01:17:00,Injured/Sick Person,CBE,4400 block of  Knox  Rd
2016-00039747,2016-07-05 08:30:00,2016-07-05 08:33:00,Fire,CBE,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
2016-00039763,2016-07-05 13:18:00,2016-07-05 13:18:00,Injured/Sick Person,,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
2016-00039770,2016-07-05 14:09:00,2016-07-05 14:09:00,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
2016-00039775,2016-07-05 15:23:00,2016-07-05 15:23:00,Injured/Sick Person,CBE,"TAP, Technology Advancement Program Building at 4467  Technology  Dr"
2016-00039841,2016-07-05 22:27:00,2016-07-05 22:27:00,Injured/Sick Person,CBE,University  Blvd
2016-00039866,2016-07-06 00:00:00,2016-07-06 00:05:00,Assist Other Agency,CBE,7500 block of  Dickinson  Ave
2016-00039878,2016-07-06 01:11:00,2016-07-06 01:11:00,DWI/DUI,Arrest,Lot FD
2016-00039928,2016-07-05 21:07:00,2016-07-06 12:43:00,Theft,Active/Pending,68  Farm  Dr
2016-00039946,2016-07-06 14:14:00,2016-07-06 14:14:00,Warrant/Summons Service,Arrest,7500 block of  Dickinson  Ave
2016-00039963,2016-07-06 17:40:00,2016-07-06 17:44:00,Accident - Departmental,CBE,Jason's Deli at 7356  Baltimore  Ave
2016-00040041,2016-07-06 23:15:00,2016-07-06 23:23:00,Assist Other Agency,CBE,4600 block of  College  Ave
2016-00040043,2016-07-06 23:46:00,2016-07-06 23:46:00,CDS Violation,CBE,Baltimore  Ave
2016-00040062,2016-07-07 01:49:00,2016-07-07 01:49:00,Disorderly Conduct,Arrest,Knox  Rd
2016-00040082,2016-07-06 23:00:00,2016-07-07 09:36:00,Animal Complaint,CBE,Health Center at 3983  Campus  Dr
2016-00040234,2016-07-08 03:00:00,2016-07-08 03:06:00,DWI/DUI,Arrest,Baltimore  Ave
2016-00040237,2016-07-08 03:46:00,2016-07-08 03:46:00,CDS Violation,CBE,Adelphi  Rd
2016-00040282,2016-07-08 11:42:00,2016-07-08 11:42:00,Injured/Sick Person,CBE,190 block of  Paint Branch  Pkwy
2016-00040311,2016-07-08 10:00:00,2016-07-08 14:52:00,Vandalism,Suspended,6200 block of  Sheridan  St
2016-00040397,2016-07-08 23:30:00,2016-07-08 23:51:00,Assist Other Agency (Title IX Related),CBE,"Alpha Epsilon Pi, Frat 4 at 4  Fraternity  Row"
2016-00040421,2016-07-09 01:48:00,2016-07-09 01:48:00,DWI/DUI,Arrest,Rossborough  Ln
2016-00040439,2016-07-09 04:45:00,2016-07-09 04:45:00,Assist Other Agency (Title IX Related),CBE,"Looney's Pub, The Varsity at 8150  Baltimore  Ave"
2016-00040478,2016-07-09 12:30:00,2016-07-09 12:40:00,Injured/Sick Person,CBE,Oakland Hall at 3912  Denton Service  Ln
2016-00040491,2016-07-09 15:11:00,2016-07-09 15:11:00,Trespassing,CBE,8000 block of  Boteler  Ln
